title_length,view_count,like_count,comment_count,video_length,tag_count,category_id,channel_subscriber_count
40,589762,4194,111,597,19,26,77300000
48,107735,1314,57,933,19,26,77300000
49,224277,2224,110,914,19,26,77300000
46,1274128,11152,295,978,19,26,77300000
64,341559,3287,117,929,19,26,77300000
61,162819,1127,85,902,19,26,77300000
58,275614,2099,86,902,19,26,77300000
51,268635,2459,88,1059,19,26,77300000
66,4238605,25481,444,951,19,26,77300000
47,710136,5434,106,3741,19,26,77300000
60,174103,1698,,965,19,26,77300000
48,154463,1505,99,1071,19,26,77300000
57,723248,3433,,3772,19,26,77300000
50,712853,5096,223,945,19,26,77300000
46,409450,2995,77,972,19,26,77300000
50,140932,1290,74,936,19,26,77300000
54,5659417,32301,435,913,19,26,77300000
59,1370711,7428,,3641,19,26,77300000
55,175562,1580,58,945,19,26,77300000
57,655524,4798,118,910,19,26,77300000
35,111881,1049,52,916,19,26,77300000
49,222833,1751,109,946,19,26,77300000
46,327290,1730,,3700,19,26,77300000
61,1475739,44888,74,29,9,26,77300000
59,3707204,25014,,598,19,26,77300000
67,881847,8032,103,988,19,26,77300000
68,1461895,9235,171,943,19,26,77300000
26,1020814,34581,96,27,9,26,77300000
67,428340,3701,,3653,19,26,77300000
52,914063,6787,114,919,19,26,77300000
74,599361,4909,,1019,19,26,77300000
64,873740,6228,117,1027,19,26,77300000
69,542830,3566,129,926,19,26,77300000
52,2243672,13777,,3647,19,26,77300000
66,5545603,39821,425,947,19,26,77300000
72,2581101,21664,281,562,23,26,77300000
63,202712,1450,56,921,19,26,77300000
68,657000,3596,,3693,19,26,77300000
68,189833,1805,79,914,19,26,77300000
41,93302,988,74,927,19,26,77300000
45,939408,7287,196,930,19,26,77300000
42,510438,3196,,948,19,26,77300000
54,289789,2790,98,982,19,26,77300000
64,131630,1094,,3693,19,26,77300000
55,158163,1074,110,943,19,26,77300000
58,163229,1581,,964,19,26,77300000
56,143958,1562,80,910,19,26,77300000
48,1785463,12496,243,3685,19,26,77300000
46,190194,2044,104,943,19,26,77300000
49,1004285,7795,130,978,19,26,77300000
73,538770,4885,,978,19,26,77300000
61,144473,1808,97,981,19,26,77300000
69,429776,2669,,3773,19,26,77300000
70,639898,4068,477,572,19,26,77300000
65,204534,2028,123,964,19,26,77300000
80,232034,2230,,914,19,26,77300000
66,148315,1142,80,905,19,26,77300000
55,214425,1701,57,939,19,26,77300000
57,22321969,168760,2476,3679,19,26,77300000
64,4847887,27982,,1045,19,26,77300000
48,26126151,588035,448,33,19,26,77300000
52,203065,2276,94,958,19,26,77300000
54,286337,2395,63,938,19,26,77300000
49,269070,2797,167,963,19,26,77300000
51,5838181,30634,,3757,19,26,77300000
75,129079,1708,97,951,19,26,77300000
61,351751,3168,139,953,19,26,77300000
42,250434,2063,,914,19,26,77300000
51,408607,4284,116,963,19,26,77300000
62,581813,2875,,3693,19,26,77300000
58,1347765,10890,182,700,19,26,77300000
61,79031,937,45,1027,19,26,77300000
39,962282,5753,99,913,19,26,77300000
67,826523,9233,148,602,19,26,77300000
73,500843,4679,76,1018,19,26,77300000
43,1786717,13556,,3715,19,26,77300000
65,1778511,13355,166,954,19,26,77300000
44,260136,2969,85,930,19,26,77300000
37,2253978,53653,67,36,19,26,77300000
56,182745,2276,96,922,19,26,77300000
69,339658,2765,,3633,19,26,77300000
40,125545,1392,97,949,19,26,77300000
64,165385,956,39,987,19,26,77300000
61,155096,1489,56,1039,19,26,77300000
72,169328,1749,57,966,19,26,77300000
66,303561,2203,67,973,19,26,77300000
65,443949,1745,,3739,19,26,77300000
42,578373,7486,126,601,19,26,77300000
42,267529,2017,105,1010,19,26,77300000
52,719495,5580,,938,19,26,77300000
56,239240,2709,66,935,19,26,77300000
53,599762,6779,88,951,19,26,77300000
74,15636843,78597,,3736,19,26,77300000
56,1786273,17594,514,649,19,26,77300000
53,773998,5152,151,905,19,26,77300000
46,599391,5049,135,974,19,26,77300000
67,130678,1101,,966,19,26,77300000
52,1013761,8197,102,938,19,26,77300000
50,812132,4478,,3656,19,26,77300000
60,513931,3000,118,966,19,26,77300000
42,661674,5448,165,945,19,26,77300000
38,1102700,11102,186,601,19,26,77300000
67,210623,1491,69,925,19,26,77300000
59,250853,1696,,3681,19,26,77300000
60,4087239,27605,,655,19,26,77300000
54,151975,1374,90,977,19,26,77300000
66,710458,4713,,988,19,26,77300000
72,245179,1477,70,982,19,26,77300000
64,171599,1372,63,917,19,26,77300000
57,228935,2491,122,916,19,26,77300000
69,1301912,8342,,3681,19,26,77300000
47,162287,1313,76,921,19,26,77300000
61,297558,1941,92,941,19,26,77300000
60,529906,4108,123,561,19,26,77300000
59,105619,1231,58,933,19,26,77300000
44,368800,1863,82,983,19,26,77300000
56,12242766,74271,1232,558,19,26,77300000
48,1409143,7836,,3669,19,26,77300000
58,117890,1777,111,955,19,26,77300000
46,401592,3176,128,918,19,26,77300000
41,24888307,544480,512,34,19,26,77300000
71,417333,2919,,973,19,26,77300000
63,4155485,27855,367,608,19,26,77300000
52,909855,5064,,3713,19,26,77300000
54,255662,1834,115,1079,19,26,77300000
42,228186,1821,61,938,19,26,77300000
55,203166,1614,48,939,19,26,77300000
66,502209,3828,,967,19,26,77300000
50,473533,3498,231,1014,19,26,77300000
62,138794,768,,1038,19,26,77300000
38,3088167,20652,214,920,19,26,77300000
54,105968,893,,965,19,26,77300000
62,101902,999,72,4116,19,26,77300000
68,159786,1463,,937,19,26,77300000
39,331807,3736,180,959,19,26,77300000
49,722263,7780,179,905,19,26,77300000
43,1051226,5144,,3637,19,26,77300000
40,10053388,159059,234,9,27,26,77300000
41,390285,3283,,904,19,26,77300000
68,440888,2038,,3705,19,26,77300000
51,505432,4455,194,932,19,26,77300000
67,198038,1344,71,912,19,26,77300000
49,740389,4440,,925,19,26,77300000
68,1466093,8763,193,612,19,26,77300000
51,289170,2542,78,901,19,26,77300000
56,254029,2945,81,1067,19,26,77300000
37,408204,3825,89,569,19,26,77300000
48,324224,2303,,3651,19,26,77300000
39,340641,3226,81,944,19,26,77300000
66,665417,5447,117,1006,19,26,77300000
51,275161,2451,67,918,19,26,77300000
51,169564,1827,53,961,19,26,77300000
55,3422997,21126,351,3658,19,26,77300000
72,528801,5160,165,989,19,26,77300000
33,1299745,7146,229,976,19,26,77300000
53,258917,2486,130,1042,19,26,77300000
